Patent_ID,Country_Key,Time_Key,PatentAuthorityKey,Patent_Key,AgentRoleKey,PatentCount
2416,10,7,2,1,1,1.0
2415,10,7,2,1,2,2.866699934005737
2419,10,7,2,2,1,1.0
2420,10,7,2,2,1,0.333299994468689
2417,10,7,2,2,2,3.166699886322021
2418,10,7,2,2,2,4.066699981689453
2414,10,7,3,1,1,2.0
2413,10,7,3,1,2,2.200000047683716
2422,10,10,1,1,1,3.0
2421,10,10,1,1,2,3.444400072097778
2425,10,10,1,2,1,0.0
2426,10,10,1,2,1,0.0
2423,10,10,1,2,2,0.0
2424,10,10,1,2,2,0.0
2430,10,10,2,1,1,1.0
2429,10,10,2,1,2,1.333299994468689
2433,10,10,2,2,1,0.0
2434,10,10,2,2,1,0.0
2431,10,10,2,2,2,0.0
2432,10,10,2,2,2,2.5
2428,10,10,3,1,1,7.0
2427,10,10,3,1,2,7.634900093078613
2436,10,13,1,1,1,2.0
2435,10,13,1,1,2,1.833299994468689
2438,10,13,1,2,1,1.0
2437,10,13,1,2,2,2.0
2442,10,13,2,1,1,3.0
2441,10,13,2,1,2,4.050000190734863
2444,10,13,2,2,1,2.0
2443,10,13,2,2,2,2.309499979019165
2440,10,13,3,1,1,12.0
2439,10,13,3,1,2,13.16670036315918
2446,11,4,1,1,1,176.1405029296875
2445,11,4,1,1,2,260.7777099609375
2449,11,4,1,2,1,45.10480117797852
2450,11,4,1,2,1,137.25
2447,11,4,1,2,2,63.6786003112793
2448,11,4,1,2,2,199.3647003173828
2454,11,4,2,1,1,366.25
2453,11,4,2,1,2,686.6417236328125
2457,11,4,2,2,1,206.5
2458,11,4,2,2,1,200.6887054443359
2455,11,4,2,2,2,441.3528137207031
2456,11,4,2,2,2,388.8241882324219
2452,11,4,3,1,1,593.44287109375
2451,11,4,3,1,2,743.1842041015625
2460,11,7,1,1,1,212.2832946777344
2459,11,7,1,1,2,303.6235961914063
2463,11,7,1,2,1,29.33329963684082
2464,11,7,1,2,1,144.1667022705078
2461,11,7,1,2,2,43.48450088500977
2462,11,7,1,2,2,210.0428924560547
2468,11,7,2,1,1,409.139404296875
2467,11,7,2,1,2,748.9752197265625
2471,11,7,2,2,1,148.8166961669922
2472,11,7,2,2,1,231.0426940917969
2469,11,7,2,2,2,374.9531860351563
2470,11,7,2,2,2,450.5140075683594
2466,11,7,3,1,1,631.9332885742188
2465,11,7,3,1,2,799.8895263671875
2474,11,10,1,1,1,206.88330078125
2473,11,10,1,1,2,294.3198852539063
2477,11,10,1,2,1,8.0
2478,11,10,1,2,1,117.5
2475,11,10,1,2,2,16.21789932250977
2476,11,10,1,2,2,178.6040954589844
2482,11,10,2,1,1,339.2333068847656
2481,11,10,2,1,2,621.5881958007812
2485,11,10,2,2,1,64.41670227050781
2486,11,10,2,2,1,226.9833068847656
2483,11,10,2,2,2,237.7384948730469
2484,11,10,2,2,2,509.158203125
2480,11,10,3,1,1,622.1500244140625
2479,11,10,3,1,2,772.8405151367188
2488,11,13,1,1,1,146.7333068847656
2487,11,13,1,1,2,215.2203063964844
2490,11,13,1,2,1,74.44999694824219
2489,11,13,1,2,2,127.5214004516602
2494,11,13,2,1,1,211.86669921875
2493,11,13,2,1,2,460.4755859375
2496,11,13,2,2,1,189.5
2495,11,13,2,2,2,501.9309997558594
2492,11,13,3,1,1,606.63330078125
2491,11,13,3,1,2,748.7178955078125
2498,12,4,1,1,1,36.0
2497,12,4,1,1,2,39.79999923706055
2501,12,4,1,2,1,19.0
2502,12,4,1,2,1,18.0
2499,12,4,1,2,2,18.73329925537109
2500,12,4,1,2,2,18.5856990814209
2506,12,4,2,1,1,26.66670036315918
2505,12,4,2,1,2,67.17060089111328
2509,12,4,2,2,1,13.83329963684082
2510,12,4,2,2,1,18.88570022583008
2507,12,4,2,2,2,53.12060165405273
2508,12,4,2,2,2,42.15829849243164
2504,12,4,3,1,1,56.5713996887207
2503,12,4,3,1,2,56.00479888916016
2512,12,7,1,1,1,35.0
2511,12,7,1,1,2,48.67060089111328
2515,12,7,1,2,1,13.0
2516,12,7,1,2,1,17.33329963684082
2513,12,7,1,2,2,14.0
2514,12,7,1,2,2,20.23329925537109
2520,12,7,2,1,1,25.5
2519,12,7,2,1,2,87.50749969482422
2523,12,7,2,2,1,14.5
2524,12,7,2,2,1,18.46669960021973
2521,12,7,2,2,2,61.73130035400391
2522,12,7,2,2,2,61.64049911499023
2518,12,7,3,1,1,49.0
2517,12,7,3,1,2,52.32619857788086
2526,12,10,1,1,1,47.40000152587891
2525,12,10,1,1,2,57.96670150756836
2529,12,10,1,2,1,4.5
2530,12,10,1,2,1,17.5
2527,12,10,1,2,2,6.099999904632568
2528,12,10,1,2,2,16.63330078125
2534,12,10,2,1,1,28.5
2533,12,10,2,1,2,88.98100280761719
2537,12,10,2,2,1,8.5
2538,12,10,2,2,1,8.0
2535,12,10,2,2,2,55.29399871826172
2536,12,10,2,2,2,63.14400100708008
2532,12,10,3,1,1,47.40000152587891
2531,12,10,3,1,2,56.6713981628418
2540,12,13,1,1,1,36.5
2539,12,13,1,1,2,44.22620010375977
2542,12,13,1,2,1,22.875
2541,12,13,1,2,2,25.84169960021973
2546,12,13,2,1,1,19.0
2545,12,13,2,1,2,92.32440185546876
2548,12,13,2,2,1,15.5
2547,12,13,2,2,2,83.57859802246094
2544,12,13,3,1,1,43.83330154418945
2543,12,13,3,1,2,51.4452018737793
158,13,4,1,1,1,1480.771362304688
157,13,4,1,1,2,2001.8310546875
161,13,4,1,2,1,351.326904296875
162,13,4,1,2,1,1585.201538085938
159,13,4,1,2,2,553.4552001953125
160,13,4,1,2,2,1902.40576171875
166,13,4,2,1,1,6562.8955078125
165,13,4,2,1,2,8516.1669921875
169,13,4,2,2,1,4591.5791015625
170,13,4,2,2,1,4723.85693359375
167,13,4,2,2,2,6303.75634765625
168,13,4,2,2,2,6580.2880859375
164,13,4,3,1,1,2360.757080078125
163,13,4,3,1,2,2969.06591796875
172,13,7,1,1,1,1790.19287109375
171,13,7,1,1,2,2304.19970703125
175,13,7,1,2,1,270.0833129882813
176,13,7,1,2,1,1683.966674804688
173,13,7,1,2,2,353.6635131835938
174,13,7,1,2,2,2095.95068359375
180,13,7,2,1,1,7242.92919921875
179,13,7,2,1,2,9277.0078125
183,13,7,2,2,1,4556.30029296875
184,13,7,2,2,1,5530.353515625
181,13,7,2,2,2,6270.462890625
182,13,7,2,2,2,7677.86279296875
178,13,7,3,1,1,2657.351318359375
177,13,7,3,1,2,3221.800537109375
186,13,10,1,1,1,1763.803955078125
185,13,10,1,1,2,2235.3076171875
189,13,10,1,2,1,128.3332977294922
190,13,10,1,2,1,1423.983276367188
187,13,10,1,2,2,160.7212982177734
188,13,10,1,2,2,1921.868530273438
194,13,10,2,1,1,6678.71826171875
193,13,10,2,1,2,8545.69921875
197,13,10,2,2,1,3285.48681640625
198,13,10,2,2,1,5343.79833984375
195,13,10,2,2,2,4591.82470703125
196,13,10,2,2,2,7349.794921875
192,13,10,3,1,1,2557.678955078125
191,13,10,3,1,2,3185.811279296875
200,13,13,1,1,1,1420.354858398438
199,13,13,1,1,2,1803.75537109375
202,13,13,1,2,1,1136.0
201,13,13,1,2,2,1532.560302734375
206,13,13,2,1,1,6015.861328125
205,13,13,2,1,2,7680.07275390625
208,13,13,2,2,1,5016.64990234375
207,13,13,2,2,2,6832.37109375
204,13,13,3,1,1,2570.038818359375
203,13,13,3,1,2,3324.1259765625
2550,14,4,1,1,1,397.5
2549,14,4,1,1,2,4.25
2553,14,4,1,2,1,169.0
2554,14,4,1,2,1,104.6667022705078
2551,14,4,1,2,2,1.0
2552,14,4,1,2,2,0.0
2558,14,4,2,1,1,1465.833251953125
2557,14,4,2,1,2,6.333300113677979
2561,14,4,2,2,1,1298.5
2562,14,4,2,2,1,1075.27294921875
2559,14,4,2,2,2,4.75
2560,14,4,2,2,2,8.20829963684082
2556,14,4,3,1,1,1007.083312988281
2555,14,4,3,1,2,6.083300113677979
2564,14,7,1,1,1,507.6666870117188
2563,14,7,1,1,2,15.5
2567,14,7,1,2,1,181.0
2568,14,7,1,2,1,130.3332977294922
2565,14,7,1,2,2,4.0
2566,14,7,1,2,2,0.125
2572,14,7,2,1,1,1382.416748046875
2571,14,7,2,1,2,13.72500038146973
